sec,CH1,CH40,
0.202,-0.0759888,0,
0.203,-0.0759888,0,
0.204,-0.0756836,0,
0.205,-0.0750732,0,
0.206,-0.0750732,0,
0.207,-0.0750732,0,
0.208,-0.0753784,0,
0.209,-0.0762939,0,
0.21,-0.0772095,0,
0.211,-0.078125,0,
0.212,-0.0793457,0,
0.213,-0.0799561,0,
0.214,-0.0805664,0,
0.215,-0.0802612,0,
0.216,-0.0793457,0,
0.217,-0.078125,0,
0.218,-0.0765991,0,
0.219,-0.0741577,0,
0.22,-0.0714111,0,
0.221,-0.0680542,0,
0.222,-0.0643921,0,
0.223,-0.0604248,0,
0.224,-0.0558472,0,
0.225,-0.0509644,0,
0.226,-0.0460815,0,
0.227,-0.0405884,0,
0.228,-0.0354004,0,
0.229,-0.0299072,0,
0.23,-0.0247192,0,
0.231,-0.0192261,0,
0.232,-0.0140381,0,
0.233,-0.00854492,0,
0.234,-0.00274658,0,
0.235,0.00366211,0,
0.236,0.0106812,0,
0.237,0.0189209,0,
0.238,0.0286865,0,
0.239,0.039978,0,
0.24,0.0531006,0,
0.241,0.0686646,0,
0.242,0.0863647,0,
0.243,0.106812,0,
0.244,0.1297,0,
0.245,0.15564,0,
0.246,0.184631,0,
0.247,0.21637,0,
0.248,0.250244,0,
0.249,0.284729,0,
0.25,0.319519,0,
0.251,0.352783,0,
0.252,0.383911,0,
0.253,0.411987,0,
0.254,0.436096,0,
0.255,0.455627,0,
0.256,0.469666,0,
0.257,0.4776,0,
0.258,0.479126,0,
0.259,0.473633,0,
0.26,0.461426,0,
0.261,0.441895,0,
0.262,0.415649,0,
0.263,0.38269,0,
0.264,0.343628,0,
0.265,0.299683,0,
0.266,0.251465,0,
0.267,0.200806,0,
0.268,0.148315,0,
0.269,0.0958252,0,
0.27,0.0439453,0,
0.271,-0.00579834,0,
0.272,-0.0521851,0,
0.273,-0.0949097,0,
0.274,-0.132751,0,
0.275,-0.16571,0,
0.276,-0.193481,0,
0.277,-0.216064,0,
0.278,-0.233765,0,
0.279,-0.247192,0,
0.28,-0.256042,0,
0.281,-0.260925,0,
